PROGRAM,SITE,YEAR,ANC,DOC,NO3,SBC_ALL,SBC-0,SO4
VTSSS,VT63,2015,97.433,0,0.395,148.83,0,22.998
VTLTM,1C1-089E,2017,31.2,7.1475,0.483,82.129025,60.183275,23.01866667
VTSSS,VT63,2016,105.608,0,0.325,149.295,0,23.043
VTSSS,VT01,2003,98.488,0,32.523,186.853,0,23.153
MELTM,1E1-060E,2017,99.8,5.683333333,0.35,217.51,158.2266667,23.31
VTSSS,VT63,2014,92.563,0,0.13,150.403,0,23.35
VTSSS,VT63,2017,94.6075,0,0.015,144.5,0,23.365
MELTM,ME-4778E,2010,-1.58,2.577,0.228,52.754,27.212,23.465
VTSSS,VT42,1994,79.93,0,7.043,133.52,0,23.508
VTSSS,VT03,1991,85.46,0,3.095,127.303,0,23.513
VTSSS,VT01,1991,99.5,0,41.603,189.518,0,23.54
VTSSS,VT63,2013,93.918,0,0,144.17,0,23.55
VTLTM,1C1-101E,2017,3.52,7.3625,0.716051563,60.12122,41.00732,23.6704
MELTM,1E2-060E,2014,149.1,8.467,0.19,273.533,243.867,23.7
MELTM,1E2-060E,2015,150.257,9.067,0.233,272.4,239.567,23.8
MELTM,ME-4778E,2007,-2,2.266666667,0.6,52.96666667,26.63333333,23.83333333
VTSSS,VT65,1999,73.745,0,5.33,119.3,0,23.903
ALTM,020138O,2010,-18.37,10.01,0.68,44.15,49.47,23.91
ALTM,030172E,2007,95.61,6.9,0.99,148.31,152.73,23.95
VTSSS,VT63,1993,105.155,0,3.378,155.388,0,24.023
VTSSS,VT15,2004,22.31,0,1.473,65.118,0,24.028
VTSSS,VT63,1996,92.303,0,2.625,143.343,0,24.225
VTSSS,VT65,2007,67.02,0,3.9,129.293,0,24.233
VTSSS,VT63,2006,96.258,0,0,145.448,0,24.245
ALTM,1A1-107E,2010,-31.62,15.43,0.48,60.11,69.29,24.41
MELTM,1E2-060E,2011,157.017,11.004,0,256.863,226.368,24.5
VTSSS,VT63,1994,89.223,0,1.308,140.665,0,24.515
VTSSS,VT63,2007,93.093,0,0.645,152.848,0,24.805
MELTM,ME-4778E,2009,-1.5025,2.605619217,0,59.7899225,34.8926975,24.8317108
VTSSS,VT01,1993,94.728,0,52.023,191.333,0,24.84
ALTM,030172E,2008,87.01,6.63,1.41,133.53,137.66,24.86
VTSSS,VT63,1997,90.41,0,1.615,148.628,0,24.933
MELTM,ME-4778E,2006,1.6,2.65,0.2,58.4,28.4,25
ALTM,1A1-107E,2011,-38.71,16.18,0.68,55.07,67.24,25.15
MELTM,1E1-060E,2007,96.7,4.6,0.133333333,193.5,139.5,25.16666667
VTSSS,VT01,2000,100.863,0,42.193,191.983,0,25.238
VTSSS,VT67,2007,33.605,0,0.155,84.605,0,25.28
VTSSS,VT40,1998,26.593,0,0.64,68.41,0,25.437
ALTM,050707O,2017,9.4276,7.18666,1.544472655,77.64881786,60.46588286,25.50190124
VTSSS,VT63,2011,92.485,0,0.348,146.02,0,25.673
VTSSS,VT65,1997,60.665,0,5.583,119.805,0,25.718
MELTM,ME-4474E,2005,-33.4,8.4,1.3,69.7,32.7,26
VTSSS,VT63,2008,95.175,0,0.223,152.14,0,26.048
MELTM,ME-4778E,2008,-1.633333333,2.243333333,0.86,58.63333333,30.7,26.1
VTSSS,VT03,1990,69.88,0,1.155,117.49,0,26.133
MELTM,1E1-060E,2008,102.2,5.283333333,0.293333333,201.8333333,147.5333333,26.36666667
VTSSS,VT63,2010,99.21,0,0.083,153.37,0,26.398
VTSSS,VT65,2008,67.193,0,3.875,124.84,0,26.435
ALTM,030172E,2006,99.97,6.71,1.86,154.33,158.39,26.49
ALTM,020138O,2009,-20.92,11.98,0.34,48.97,54.47,26.5
VTSSS,VT65,2002,77.408,0,5.663,133.453,0,26.51
VTSSS,VT01,2004,100.308,0,35.05,188.92,0,26.568
VTSSS,VT42,2002,87.303,0,7.61,152.59,0,26.593
VTSSS,VT15,1996,29.963,0,1.933,75.703,0,26.633
ALTM,020138O,2006,-20.08,12.89,1.95,48.14,54.16,26.69
VTSSS,VT01,1997,99.775,0,38.398,189.658,0,26.775
VTSSS,VT42,2008,80.37,0,6.54,144.503,0,26.793
VTSSS,VT01,2005,103.26,0,32.093,192.383,0,26.93
VTSSS,VT01,1992,85.36,0,53.293,187.578,0,26.995
VTLTM,1C1-100E,2013,17.2,9.533,1.309,89.85,74.059,27.066
VTSSS,VT28,1998,19.253,0,1.297,62.653,0,27.067
ALTM,020138O,2005,-13.32,11.88,2.8,48.43,54.59,27.32
VTLTM,1C1-089E,2016,20.2,6.26,1.309,84.11,60.75,27.344
MELTM,1C1-078E,2014,59,8.7,0.07,171.85,136.25,27.4
ALTM,030172E,2005,105.36,6.86,1.44,162.97,167.03,27.42
VTSSS,VT03,1995,79.298,0,4.85,127.685,0,27.465
VTSSS,VT63,2002,98.795,0,0.828,158.118,0,27.515
VTLTM,1C1-090E,2017,68.08571429,4.18925,1.00625,102.3808143,79.64895714,27.57485714
VTSSS,VT15,1997,31.41,0,2.74,81.363,0,27.943
VTSSS,VT03,2016,79.078,0,2.138,125.428,0,28.028
VTSSS,M003,2017,175.23,0,0,185.75,0,28.045
VTSSS,VT15,2006,27.51,0,0.13,70.598,0,28.068
MELTM,1E2-060E,2008,174.05,11.9925,0.2775,285.1,255.325,28.075
ALTM,1A1-107E,2009,-36.93,15.43,0.47,58.77,68.09,28.11
VTSSS,VT03,1993,76.75,0,5.565,125.73,0,28.118
VTSSS,VT03,1996,77.935,0,3.423,125.258,0,28.165
VTLTM,1C1-100E,2015,16.467,9.793,1.428,89.621,72.293,28.176
VTSSS,VT03,1998,78.998,0,2.573,122.963,0,28.24
VTSSS,VT03,1992,70.69,0,3.648,119.79,0,28.3
VTSSS,VT15,1990,28.953,0,1.623,77.378,0,28.365
VTSSS,VT15,1991,30.138,0,1.165,78.38,0,28.368
VTSSS,VT01,1996,99.273,0,41.218,187.83,0,28.42
VTLTM,1C1-089E,2014,21.667,7.307,4.046,89.894,65.708,28.454
VTSSS,VT23,1991,155.633,0,1.815,217.18,0,28.46
VTSSS,VT03,2000,76.803,0,2.598,124.915,0,28.548
VTLTM,1C1-090E,2016,49.133,3.813,1.452,109.666,85.891,28.57
ALTM,050707O,2016,14.35,6.49,23.69,63.26,81.98,28.66
VTSSS,VT01,2016,111.428,0,21.063,177.905,0,28.7
VTSSS,VT01,2002,80.865,0,46.633,193.07,0,28.713
VTLTM,1C1-100E,2014,17.4,9.01,1.666,94.742,76.791,28.801
ALTM,030172E,2004,126.9,6.69,1.16,186.32,190.46,28.88
VTSSS,VT40,2001,23.75,0,0.73,70.055,0,28.913
VTSSS,VT01,2008,103.803,0,36.598,193.785,0,28.92
VTSSS,VT03,2011,68.85,0,5.108,400.265,0,28.94
MELTM,ME-4778E,2005,-0.1,2.7,0.1,68.7,35.7,29
VTLTM,1C1-089E,2015,22.467,5.993,1.904,84.496,60.223,29.009
VTSSS,VT01,2001,91.09,0,49.603,188.563,0,29.113
VTLTM,1C1-110E,2015,2.1,1.66,8.21,52.499,37.814,29.183
ALTM,020138O,2007,-15.27,10.58,1.86,46.54,52.92,29.19
ALTM,020059O,2017,64.43088889,9.792011111,0.082726568,167.6538701,131.8533846,29.22037393
VTLTM,1C1-101E,2016,6.333,5.807,2.142,67.663,44.912,29.287
VTSSS,VT03,2015,66.315,0,3.06,115.835,0,29.305
VTSSS,VT15,2005,28.578,0,1.513,78.47,0,29.375
MELTM,1C1-078E,2017,73.47,8.13,0.566,171.582,129.696,29.424
VTSSS,VT44,1990,78.418,0,2.87,131.34,0,29.425
VTSSS,VT01,1990,86.673,0,43.973,182.003,0,29.465
VTSSS,VT03,2001,72.62,0,3.663,132.173,0,29.487
VTSSS,VT01,2010,101.765,0,22.19,182.025,0,29.51
VTSSS,VT03,2009,72.715,0,2.22,171.935,0,29.513
VTLTM,1C1-089E,2011,19,6.54,2.249,84.157,64.364,29.554
VTSSS,VT03,2004,72.863,0,1.4,121.228,0,29.563
VTSSS,VT03,2010,77.403,0,0.595,126.53,0,29.665
MELTM,1E1-135E,2012,69.143,3.309,0.102,186.19,104.794,29.69
VTSSS,VT03,2003,72.585,0,1.998,123.753,0,29.69
VTLTM,1C1-110E,2016,8.467,2.173,4.105,57.041,41.355,29.703
VTLTM,1C1-101E,2015,5.067,6.507,3.332,67.849,46.171,29.703
VTSSS,VT03,1997,78.718,0,2.095,128.238,0,29.71
VTLTM,1C1-110E,2012,1.35,1.53,8.567,46.611,34.431,29.767
VTLTM,1C1-089E,2013,24.333,6.297,2.142,88.863,65.025,29.773
